Run,ENA-CHECKLIST,ENA-SPOT-COUNT,ENA-BASE-COUNT,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Sample,Read depth
ERR1225358,ERC000011,57182,16699015,2016-12-27,2017-01-06,ERS1039233,
ERR1225359,ERC000011,48542,14158042,2016-12-27,2017-01-06,ERS1039234,
ERR1225360,ERC000011,35146,10330532,2016-12-27,2017-01-06,ERS1039235,
ERR1225361,ERC000011,59549,17201123,2016-12-27,2017-01-06,ERS1039236,
ERR1225362,ERC000011,46269,13494269,2016-12-27,2017-01-06,ERS1039237,
ERR1225363,ERC000011,24318,7134870,2016-12-27,2017-01-06,ERS1039238,
ERR1225364,ERC000011,49572,14408312,2016-12-27,2017-01-06,ERS1039239,
ERR1225365,ERC000011,59644,17489502,2016-12-27,2017-01-06,ERS1039240,
ERR1225366,ERC000011,49004,14256074,2016-12-27,2017-01-06,ERS1039241,
ERR1225367,ERC000011,62724,18236218,2016-12-27,2017-01-06,ERS1039242,
ERR1225368,ERC000011,70816,20720120,2016-12-27,2017-01-06,ERS1039243,
ERR1225369,ERC000011,41705,12173902,2016-12-27,2017-01-06,ERS1039244,
ERR1225370,ERC000011,54699,15897943,2016-12-27,2017-01-06,ERS1039245,
ERR1225371,ERC000011,57713,16420037,2016-12-27,2017-01-06,ERS1039246,
ERR1225372,ERC000011,57846,16983041,2016-12-27,2017-01-06,ERS1039247,
ERR1225373,ERC000011,65941,19179178,2016-12-27,2017-01-06,ERS1039248,
ERR1225374,ERC000011,69537,20338758,2016-12-27,2017-01-06,ERS1039249,
ERR1225375,ERC000011,55709,16080397,2016-12-27,2017-01-06,ERS1039250,
ERR1225376,ERC000011,52318,15126038,2016-12-27,2017-01-06,ERS1039251,
ERR1225377,ERC000011,48540,14280164,2016-12-27,2017-01-06,ERS1039252,
ERR1225378,ERC000011,34582,10064594,2016-12-27,2017-01-06,ERS1039253,
ERR1225379,ERC000011,48202,14054903,2016-12-27,2017-01-06,ERS1039254,
ERR1225380,ERC000011,61462,17881273,2016-12-27,2017-01-06,ERS1039255,
ERR1225381,ERC000011,29137,8531360,2016-12-27,2017-01-06,ERS1039256,
ERR1225382,ERC000011,48927,14161212,2016-12-27,2017-01-06,ERS1039257,
ERR1225383,ERC000011,44347,12876700,2016-12-27,2017-01-06,ERS1039258,
ERR1225384,ERC000011,37731,11046990,2016-12-27,2017-01-06,ERS1039259,
ERR1225385,ERC000011,42179,12268608,2016-12-27,2017-01-06,ERS1039260,
ERR1225386,ERC000011,49162,14419177,2016-12-27,2017-01-06,ERS1039261,
ERR1225387,ERC000011,41224,11913385,2016-12-27,2017-01-06,ERS1039262,
ERR1225388,ERC000011,22582,6645923,2016-12-27,2017-01-06,ERS1039263,
ERR1225389,ERC000011,48815,14178488,2016-12-27,2017-01-06,ERS1039264,
ERR1225390,ERC000011,53355,15533549,2016-12-27,2017-01-06,ERS1039265,
ERR1225391,ERC000011,37534,10790758,2016-12-27,2017-01-06,ERS1039266,
ERR1225392,ERC000011,49280,14273640,2016-12-27,2017-01-06,ERS1039267,
ERR1225393,ERC000011,38976,11327104,2016-12-27,2017-01-06,ERS1039268,
ERR1225394,ERC000011,42472,12412846,2016-12-27,2017-01-06,ERS1039269,
ERR1225395,ERC000011,36484,10631262,2016-12-27,2017-01-06,ERS1039270,
ERR1225396,ERC000011,48728,14056531,2016-12-27,2017-01-06,ERS1039271,
ERR1225397,ERC000011,40682,11878596,2016-12-27,2017-01-06,ERS1039272,
ERR1225398,ERC000011,29934,8705140,2016-12-27,2017-01-06,ERS1039273,
ERR1225399,ERC000011,42709,12408652,2016-12-27,2017-01-06,ERS1039274,
ERR1225400,ERC000011,48298,14050615,2016-12-27,2017-01-06,ERS1039275,
ERR1225401,ERC000011,51265,14916488,2016-12-27,2017-01-06,ERS1039276,
ERR1225402,ERC000011,52964,15420149,2016-12-27,2017-01-06,ERS1039277,
ERR1225403,ERC000011,33519,9778815,2016-12-27,2017-01-06,ERS1039278,
ERR1225404,ERC000011,44824,13093359,2016-12-27,2017-01-06,ERS1039279,
ERR1225405,ERC000011,42423,12267171,2016-12-27,2017-01-06,ERS1039280,
ERR1225406,ERC000011,47750,13861018,2016-12-27,2017-01-06,ERS1039281,
ERR1225407,ERC000011,55493,16306041,2016-12-27,2017-01-06,ERS1039282,
ERR1225408,ERC000011,53899,15673616,2016-12-27,2017-01-06,ERS1039283,
ERR1225409,ERC000011,38838,11382797,2016-12-27,2017-01-06,ERS1039284,
ERR1225410,ERC000011,61137,17848884,2016-12-27,2017-01-06,ERS1039285,
ERR1225411,ERC000011,46941,13738811,2016-12-27,2017-01-06,ERS1039286,
ERR1225412,ERC000011,52043,15217233,2016-12-27,2017-01-06,ERS1039287,
ERR1225413,ERC000011,50767,14825917,2016-12-27,2017-01-06,ERS1039288,
ERR1225414,ERC000011,36473,10640161,2016-12-27,2017-01-06,ERS1039289,
ERR1225415,ERC000011,55578,16084955,2016-12-27,2017-01-06,ERS1039290,
ERR1225416,ERC000011,45369,13306511,2016-12-27,2017-01-06,ERS1039291,
ERR1225417,ERC000011,51843,14973351,2016-12-27,2017-01-06,ERS1039292,
